destination_district,visits_percentage
106,0.0
107,0.0012537958958314162
108,0.0005176221588294838
109,0.00011502714640655194
110,0.001886445201067452
111,5.751357320327597e-05
112,3.450814392196558e-05
113,0.0
114,4.601085856262078e-05
115,3.450814392196558e-05
201,3.450814392196558e-05
202,0.00027606515137572465
203,0.0
204,0.00012652986104720715
205,0.00013803257568786233
206,0.0
207,0.00016103800496917274
301,0.00011502714640655194
302,9.202171712524156e-05
303,0.0
304,1.1502714640655195e-05
305,9.202171712524156e-05
306,4.601085856262078e-05
307,5.751357320327597e-05
308,0.0002875678660163799
309,3.450814392196558e-05
310,0.0
401,0.00016103800496917274
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0002185515781724487
408,8.051900248458637e-05
409,2.300542928131039e-05
501,5.751357320327597e-05
502,0.00013803257568786233
503,5.751357320327597e-05
504,6.901628784393116e-05
505,2.300542928131039e-05
506,0.0
507,0.0
601,0.0009892334590963468
602,0.0
603,6.901628784393116e-05
604,0.0
605,0.0
606,0.0
607,0.0011502714640655195
608,3.450814392196558e-05
609,1.1502714640655195e-05
610,0.0
611,0.0
612,0.0
613,4.601085856262078e-05
614,5.751357320327597e-05
615,1.1502714640655195e-05
616,0.0
617,0.0
618,0.0
619,0.0
701,0.0004831140149075182
702,9.202171712524156e-05
703,2.300542928131039e-05
704,2.300542928131039e-05
705,2.300542928131039e-05
706,0.0
707,0.0
708,0.0
709,0.0
710,2.300542928131039e-05
711,4.601085856262078e-05
801,0.0003910922977822766
802,8.051900248458637e-05
803,0.0
804,0.0
805,5.751357320327597e-05
806,0.0002185515781724487
807,0.00011502714640655194
808,3.450814392196558e-05
809,5.751357320327597e-05
810,4.601085856262078e-05
811,0.0
812,0.0
813,1.1502714640655195e-05
814,0.00010352443176589675
815,0.0
816,4.601085856262078e-05
817,0.0
818,3.450814392196558e-05
819,0.0
820,4.601085856262078e-05
821,0.00010352443176589675
822,0.00016103800496917274
901,0.0001955461488911383
902,2.300542928131039e-05
903,0.0
904,0.0
905,3.450814392196558e-05
1001,6.901628784393116e-05
1002,0.0
1003,0.0
1004,2.300542928131039e-05
1005,0.0
1006,0.0
1007,3.450814392196558e-05
1008,0.0
1009,0.0
1010,0.0
1011,1.1502714640655195e-05
1012,3.450814392196558e-05
1013,0.0
1014,0.0
1015,0.0
1101,0.0010122388883776572
1102,4.601085856262078e-05
1103,0.0001955461488911383
1104,0.0
1105,0.0
1106,0.0
1107,3.450814392196558e-05
1108,0.00011502714640655194
1109,4.601085856262078e-05
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,4.601085856262078e-05
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,2.300542928131039e-05
1126,0.0
1127,0.0
1128,0.0
1201,0.0004946167295481734
1202,0.0
1203,3.450814392196558e-05
1204,3.450814392196558e-05
1205,0.0
1206,0.0
1207,1.1502714640655195e-05
1208,0.0
1209,0.0
1210,1.1502714640655195e-05
1211,0.0
1212,5.751357320327597e-05
1213,0.0
1214,2.300542928131039e-05
1215,0.0
1216,1.1502714640655195e-05
1217,0.0
1301,0.0008512008834084844
1302,0.0
1303,1.1502714640655195e-05
1304,5.751357320327597e-05
1305,0.0
1306,3.450814392196558e-05
1307,0.00011502714640655194
1308,0.0
1309,3.450814392196558e-05
1310,0.0
1311,8.051900248458637e-05
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1401,0.0013688230422379682
1402,0.0004371031563448974
1403,6.901628784393116e-05
1404,0.0
1405,4.601085856262078e-05
1406,0.00016103800496917274
1407,0.0
1501,0.00029907058065703506
1502,2.300542928131039e-05
1503,0.0
1504,0.0
1505,0.0
1506,2.300542928131039e-05
1507,0.0
1601,0.00148385018864452
1602,0.0009547253151743812
1603,2.300542928131039e-05
1604,0.0
1605,4.601085856262078e-05
1606,1.1502714640655195e-05
1607,1.1502714640655195e-05
1608,0.0
1609,1.1502714640655195e-05
1610,0.0
1611,0.0
1612,0.00018404343425048312
1613,0.0004486058709855526
1614,5.751357320327597e-05
1615,0.00010352443176589675
1701,0.0006211465905953805
1702,1.1502714640655195e-05
1703,1.1502714640655195e-05
1704,9.202171712524156e-05
1705,0.0
1706,0.0002070488635317935
1707,0.0
1708,3.450814392196558e-05
1709,0.0
1710,0.0
1711,0.0
1801,0.00034508143921965583
1802,3.450814392196558e-05
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,3.450814392196558e-05
1809,1.1502714640655195e-05
1810,0.0
1811,0.0
1812,3.450814392196558e-05
1813,0.0
1814,1.1502714640655195e-05
1901,0.00011502714640655194
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
2001,0.002231526640287108
2002,0.0002070488635317935
2003,0.0001955461488911383
2004,1.1502714640655195e-05
2005,2.300542928131039e-05
2006,1.1502714640655195e-05
2007,0.0
2008,2.300542928131039e-05
2009,8.051900248458637e-05
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.00029907058065703506
2015,0.0
2016,0.0
2101,0.0002415570074537591
2102,0.0
2103,0.0
2104,0.0
2105,0.0
2106,0.0
2107,0.0
2108,0.0
2109,0.0
2110,0.0
2111,0.0
2201,0.0005061194441888286
2202,0.0
2203,0.0
2204,1.1502714640655195e-05
2205,4.601085856262078e-05
2301,0.0004256004417042422
2302,0.00013803257568786233
2303,0.0
2304,1.1502714640655195e-05
2305,0.0
2306,0.0
2307,0.0002645624367350695
2308,0.0
2309,3.450814392196558e-05
2310,0.0
2311,0.0
2312,0.0
2313,0.0
2401,0.0011042606055028986
2402,4.601085856262078e-05
2403,0.0
2404,3.450814392196558e-05
2405,0.0
2406,0.0
2407,0.0
2408,0.0
2409,0.0
2410,0.0
2411,5.751357320327597e-05
2412,0.0
2413,0.0
2414,0.0
2415,0.0
2416,6.901628784393116e-05
2501,0.00012652986104720715
2502,0.0
2503,0.0
2504,0.0
2505,0.0
2506,0.0
2507,0.0
2508,0.0
2509,0.0
2510,0.0
2511,0.0
2601,0.0002415570074537591
2602,0.0
2603,0.0
2604,0.0
2605,2.300542928131039e-05
2701,0.0004486058709855526
2702,0.0
2703,0.0
2704,0.0
2705,0.0
2706,0.0
2707,4.601085856262078e-05
2708,0.0
2709,0.0
2710,0.0
2801,0.0007016655930799668
2802,9.202171712524156e-05
2803,0.0
2804,2.300542928131039e-05
2805,0.0
2806,0.0
2807,0.0
2901,0.00018404343425048312
2902,1.1502714640655195e-05
2903,0.0
2904,0.0
2905,0.0
2906,0.0
2907,0.0
2908,0.0
2909,0.0
2910,0.0
2911,2.300542928131039e-05
2912,0.0
2913,0.0
2914,0.0
2915,0.0
2916,0.0
2917,0.0
2918,4.601085856262078e-05
2919,1.1502714640655195e-05
3001,3.450814392196558e-05
3002,0.0
3003,0.0
3004,0.0
3005,0.0
3006,0.0
3007,0.0
3008,0.0
3101,0.00010352443176589675
3102,0.0
3103,0.0
3104,0.0
3105,0.0
3106,0.0
3107,0.0
3201,0.000770681880923898
3202,2.300542928131039e-05
3203,1.1502714640655195e-05
3204,0.0
3205,0.0
3206,8.051900248458637e-05
3207,0.0
3208,1.1502714640655195e-05
3209,0.00011502714640655194
3210,0.0
3211,0.0
3212,0.0
3213,0.0
3301,0.0
3302,0.0
3303,0.0
3304,0.0
3305,0.0
3306,9.202171712524156e-05
3307,0.00011502714640655194
3401,5.751357320327597e-05
3402,0.0
3403,0.0
3404,0.0
3405,0.0
3406,0.0
3407,0.0
3408,0.0
3409,0.0
